Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
Pirates of the Caribbean: Dead Man’…,Pirates of the Caribbean Dead Man’…,2006-07-07,2006,7,588764432,423315812,Adventure,Walt Disney,25,,,,,,,,
Star Wars: The Rise of Skywalker,Star Wars The Rise of Skywalker,2019-12-20,2019,12,515202542,515202542,Adventure,Walt Disney,25,,,,,,,,
Pirates of the Caribbean: The Curse o…,Pirates of the Caribbean The Curse o…,2003-07-09,2003,7,461408382,305410819,Adventure,Walt Disney,25,,,,,,,,
"The Chronicles of Narnia: The Lion, t…","The Chronicles of Narnia The Lion, t…",2005-12-09,2005,12,412335608,291710957,Adventure,Walt Disney,25,,,,,,,,
Pirates of the Caribbean: At World’…,Pirates of the Caribbean At World’…,2007-05-24,2007,5,409712211,309420425,Adventure,Walt Disney,25,,,,,,,,
Harry Potter and the Order of the Pho…,Harry Potter and the Order of the Pho…,2007-07-11,2007,7,386651621,292137260,Adventure,Warner Bros.,25,,,,,,,,
3 Men and a Baby,3 Men and a Baby,1987-11-25,1987,11,381836094,167780960,Comedy,Walt Disney,23,,,,,,,,
Mission: Impossible 2,Mission Impossible 2,2000-05-24,2000,5,364078672,215409889,Action,Paramount Pictures,24,,,,,,,,
X-Men 2,X-Men 2,2003-05-02,2003,5,324741574,214949694,Action,20th Century Fox,25,,,,,,,,
Men in Black 2,Men in Black 2,2002-07-03,2002,7,298574055,190418803,Action,Sony Pictures,25,,,,,,,,
The Hobbit: The Battle of the Five Ar…,The Hobbit The Battle of the Five Ar…,2014-12-17,2014,12,283285507,255119788,Adventure,Warner Bros.,25,,,,,,,,
Dumb & Dumber,Dumb and Dumber,1994-12-16,1994,12,275554178,127175374,Comedy,New Line,23,,,,,,,,
Dr. Seuss’ The Grinch,The Grinch,2018-11-09,2018,11,270620950,270620950,Adventure,Universal,25,,,,,,,,
Fast and Furious 6,furious 6,2013-05-24,2013,5,267450606,238679850,Action,Universal,25,,,,,,,,
Doctor Seuss' The Lorax,lorax,2012-03-02,2012,3,244951985,214030500,Adventure,Universal,25,,,,,,,,
Crocodile Dundee 2,Crocodile Dundee II,1988-05-25,1988,5,242282126,109306210,Adventure,Paramount Pictures,23,,,,,,,,
Interview with the Vampire: The Vampi…,Interview with the Vampire The Vampire,1994-11-11,1994,11,234419276,105264608,Horror,Warner Bros.,23,,,,,,,,
Night at the Museum: Battle of the Sm…,Battle of the Smithsonian,2009-05-22,2009,5,215292039,177243721,Adventure,20th Century Fox,25,,,,,,,,
Spider-Man: Into The Spider-Verse 3D,Into The Spider-Verse,2018-12-14,2018,12,190173195,190173195,Adventure,Sony Pictures,25,,,,,,,,
Pirates of the Caribbean: Dead Men Te…,Dead Men Tell No Tales,2017-05-26,2017,5,175252095,172558876,Adventure,Walt Disney,25,,,,,,,,
Fantastic Four: Rise of the Silver Su…,Rise of the Silver Surfer,2007-06-15,2007,6,174681253,131921738,Action,20th Century Fox,25,,,,,,,,
The Naked Gun: From the Files of Poli…,The Naked Gun from the files of police squad,1988-12-02,1988,12,174519960,78041829,Comedy,Paramount Pictures,23,,,,,,,,
Lemony Snicket's A Series of Unfortun…,Lemony Snicket's A Series of Unfortunate Events,2004-12-17,2004,12,172925628,118627117,Adventure,Paramount Pictures,25,,,,,,,,
Disney’s A Christmas Carol,A Christmas Carol,2009-11-06,2009,11,167424190,137855863,Drama,Walt Disney,25,,,,,,,,
Fantastic Beasts: The Crimes of Grind…,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,2018,11,159555902,159555901,Adventure,Warner Bros.,25,,,,,,,,
I Now Pronounce You Chuck and Larry,I now pronounce you,2007-07-20,2007,7,158531582,119725280,Comedy,Universal,25,,,,,,,,
3 Men and a Little Lady,Three men and a little lady,1990-11-21,1990,11,154652645,71609321,Comedy,Walt Disney,23,,,,,,,,
Cheech & Chong's Next Movie,Cheech and Chong's Next Movie,1980-07-18,1980,7,141137923,41675194,Comedy,Universal,22,,,,,,,,
The Divergent Series: Insurgent,Insurgent,2015-03-20,2015,3,140679872,130179072,Action,Lionsgate,25,,,,,,,,
"Legally Blonde 2: Red, White & Blonde",Legally Blonde 2,2003-07-02,2003,7,136935662,90639088,Comedy,MGM,25,,,,,,,,
Spy Kids 2: The Island of Lost Dreams,Spy Kids 2,2002-08-07,2002,8,134590019,85846296,Adventure,Miramax/Dimension,25,,,,,,,,
Artificial Intelligence: AI,Artificial Intelligence,2001-06-29,2001,6,126536752,78616689,Drama,Warner Bros.,25,,,,,,,,
The Hangover 3,The Hangover,2013-05-23,2013,5,125724796,112200072,Comedy,Warner Bros.,25,,,,,,,,
SpongeBob SquarePants: The Movie,SpongeBob SquarePants,2004-11-19,2004,11,125144234,85416609,Adventure,Paramount Pictures,25,,,,,,,,
"Greystoke: The Legend of Tarzan, Lord…","Greystoke The Legend of Tarzan, Lord…",1984-03-30,1984,3,124449105,45900000,Adventure,Warner Bros.,23,,,,,,,,
Mouse Hunt,Mouse Hunt,1997-12-19,1997,12,121922155,61894591,Adventure,Dreamworks SKG,24,,,,,,,,
Cheech & Chong's Nice Dreams,Cheech & Chong's Nice Dreams,1981-06-05,1981,6,121248197,37000000,Comedy,Columbia,23,,,,,,,,
Mamma Mia: Here We Go Again!,Here We Go Again,2018-07-20,2018,7,120634935,120634935,Musical,Universal,25,,,,,,,,
Epic,Epic,2013-05-24,2013,5,120479112,107518682,Adventure,20th Century Fox,25,,,,,,,,
Fantasia 2000 (Theatrical Release),Fantasia 2000,1999-12-31,1999,12,117890205,69610858,Musical,Walt Disney,23,,,,,,,,
AVP: Alien Vs. Predator,Alien Vs Predator,2004-08-13,2004,8,117771456,80281096,Horror,20th Century Fox,25,,,,,,,,
Ford v. Ferrari,Ford v Ferrari,2019-11-15,2019,11,117624357,117624357,Drama,20th Century Fox,25,,,,,,,,
Cowboys and Aliens,Cowboys & Aliens,2011-07-29,2011,7,115303603,100368560,Action,Universal,25,,,,,,,,
High School Musical 3: Senior Year,High School Musical 3,2008-10-24,2008,10,114883841,90559416,Musical,Walt Disney,25,,,,,,,,
Gnomeo and Juliet,Gnomeo & Juliet,2011-02-11,2011,2,114843056,99967670,Comedy,Walt Disney,25,,,,,,,,
Garfield: The Movie,Garfield,2004-06-11,2004,6,110563551,75367693,Adventure,20th Century Fox,25,,,,,,,,
La marche de l'empereur,La marche,2005-06-24,2005,6,110055086,77437223,Documentary,Warner Independent,25,,,,,,,,
A Nightmare on Elm Street 4: The Drea…,A Nightmare on Elm Street 4,1988-08-19,1988,8,109430595,49369899,Horror,New Line,23,,,,,,,,
